门诊号,住院号,体检号,患者姓名,姓名全拼码,姓名拼音首字母,身份证,其他证件类型,其他证件号码,就诊卡号,出生日期,性别编码,ABO血型代码,RH血型代码,婚姻状况代码,国籍代码,民族代码,出生地,籍贯,职业类别代码,家庭电话,家庭地址,家庭地址-省,家庭地址-市,家庭地址-县,家庭地址-乡镇,家庭地址-街道,家庭邮政编码,现住址电话,现住址,现住址-省,现住址-市,现住址-县,现住址-乡镇,现住址-街道,现住址邮政编码,工作单位电话,工作单位名称,工作单位地址,工作单位-省,工作单位-市,工作单位-县,工作单位-乡镇,工作单位-街道,工作单位邮政编码,联系人姓名,联系人关系编码,联系人关系名称,联系人地址,联系人地址-省,联系人地址-市,联系人地址-县,联系人地址-乡镇,联系人地址-街道,联系人电话,医疗保险类别名称,医疗保险类型编码,医疗机构名称,医疗机构编码,医保号,健康卡号,健康卡号发放机构代码,居民健康档案编号,建档机构代码,支付类型,系统域标识,患者本地系统类型,患者本地系统标识
outpatientNo,inpatientNo,phealthNo,personName,cpy,pyCode,socialNo,otherCardType,otherCardNo,patientCardCode,birthDate,gender,ABOCode,RHCode,mariCode,countyCode,nationCode,birthPlace,nativePlace,occuCode,homeTel,homeAddr,homeProv,homeCity,homeCounty,homeCountry,homeStreet,homeZipcode,tempTel,tempAddr,tempProv,tempCity,tempCounty,tempCountry,tempStreet,tempZipcode,emplTel,emplName,emplAddr,emplProv,emplCity,emplCounty,emplCountry,emplStreet,emplZipcode,relaName,relaTypeCode,relaTypeName,relaAddr,relaProv,relaCity,relaCounty,relaCountry,relaStreet,relaTel,hpCode,hpName,medicalName,medicalCode,patientCardNo,healthCardNo,healthCardOrgcode,phealthRecdNo,recordOrgCode,chargeType,domainId,localIdType,localId
000001,,,张三,zhangsan,zs,410923198802223000,social_no,410923198802223000,888888,032195,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000002,,,张三,zhangsan,zs,410923198802223000,social_no,410923198802223000,888888,032195,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619622833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451722,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000003,,张三,zhangsan,zs,410923198802223000,social_no,410925656502223000,888888,032195,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451723,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000004,,,张三,zhangsan,zs,410923198802223000,social_no,410923165502223000,888888,032195,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619622833,河南省郑州市中原区桐柏路9,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451724,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005,,,张三,zhangsan,zs,410923198802223000,social_no,410923198802223000,888888,032195,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619952833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451725,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000006,,张三,zhangsan,zs,410933000000223000,social_no,410933198802223000,888888,032195,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619922834,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路9号,河南,郑州,中原区,中原区,桐柏路街道,451726,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000007,,张三,zhangsan,zs,410923198802223000,social_no,410923198802223000,888888,032196,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619922835,河南省郑州市中原区桐柏路10号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路10号,河南,郑州,中原区,中原区,桐柏路街道,451726,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000008,,张三,zhangsan,zs,410943198802223000,social_no,415555555802223000,888888,032197,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619422836,河南省郑州市中原区桐柏路11号,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路11号,河南,郑州,中原区,中原区,桐柏路街道,451726,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000009,,张三,zhangsan,zs,410953198802223000,social_no,410953198802223000,888888,032198,男,A,,已婚,ZG,汉,南乐,河南濮阳,,18619922837,河南省郑州市中原区桐柏路12,河南,郑州,中原区,中原区,桐柏路街道,451721,18619922833,河南省郑州市中原区桐柏路12号,河南,郑州,中原区,中原区,桐柏路街道,451726,18619922833,中机六院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
